history,history_label,task,task_label,metric,n,mean,sd,ci_low,ci_high
private,Private memory,game,Game only,final_balance,5,66.025,2.073173141587552,63.45081554804774,68.59918445195227
private,Private memory,game,Game only,mean_trust_ratio,5,0.8204999999999998,0.041463462831751056,0.7690163109609545,0.8719836890390451
private,Private memory,game,Game only,mean_return_ratio,5,0.399129384782028,0.037174088379178474,0.35297165757555704,0.4452871119884989
private,Private memory,game,Game only,return_over_sent,5,1.2080974115838388,0.12423265599815511,1.0538421952296964,1.3623526279379812
private,Private memory,myth_game,Myth → Game,final_balance,5,66.25,1.9803724397193574,63.79104283856552,68.70895716143448
private,Private memory,myth_game,Myth → Game,mean_trust_ratio,5,0.825,0.0396074487943871,0.7758208567713103,0.8741791432286896
private,Private memory,myth_game,Myth → Game,mean_return_ratio,5,0.35512081187331185,0.013684215856089262,0.3381296137011567,0.372112010045467
private,Private memory,myth_game,Myth → Game,return_over_sent,5,1.0642046157318186,0.04198582374292868,1.0120723299552952,1.116336901508342
dossier,Current-partner dossier,game,Game only,final_balance,5,62.6375,1.2345925441213388,61.10455088551374,64.17044911448626
dossier,Current-partner dossier,game,Game only,mean_trust_ratio,5,0.7527499999999999,0.02469185088242681,0.7220910177102746,0.7834089822897252
dossier,Current-partner dossier,game,Game only,mean_return_ratio,5,0.3870612617122872,0.038614169882772345,0.33911543714832465,0.4350070862762498
dossier,Current-partner dossier,game,Game only,return_over_sent,5,1.1675241147068012,0.11871852309816196,1.0201155986558912,1.3149326307577112
dossier,Current-partner dossier,myth_game,Myth → Game,final_balance,5,66.2625,1.0235508047967135,64.99159381535144,67.53340618464857
dossier,Current-partner dossier,myth_game,Myth → Game,mean_trust_ratio,5,0.8252499999999999,0.020471016095934325,0.7998318763070285,0.8506681236929714
dossier,Current-partner dossier,myth_game,Myth → Game,mean_return_ratio,5,0.4047625568099484,0.053223654726704546,0.3386766608829716,0.47084845273692516
dossier,Current-partner dossier,myth_game,Myth → Game,return_over_sent,5,1.2074445455004976,0.16430444259601817,1.0034336343840844,1.4114554566169109
public_ledger,Public population ledger,game,Game only,final_balance,5,62.0375,1.943337978839502,59.62452719533292,64.45047280466709
public_ledger,Public population ledger,game,Game only,mean_trust_ratio,5,0.74075,0.03886675957679003,0.6924905439066584,0.7890094560933416
public_ledger,Public population ledger,game,Game only,mean_return_ratio,5,0.44072640756302517,0.03228142064599094,0.40064372973602647,0.48080908539002387
public_ledger,Public population ledger,game,Game only,return_over_sent,5,1.3273427807050169,0.09348984852013163,1.2112598016000458,1.443425759809988
public_ledger,Public population ledger,myth_game,Myth → Game,final_balance,5,64.3,2.074020853318501,61.72476297491056,66.87523702508943
public_ledger,Public population ledger,myth_game,Myth → Game,mean_trust_ratio,5,0.7859999999999999,0.04148041706636999,0.7344952594982113,0.8375047405017886
public_ledger,Public population ledger,myth_game,Myth → Game,mean_return_ratio,5,0.493184007936508,0.04470201056478084,0.4376791307708952,0.5486888851021208
public_ledger,Public population ledger,myth_game,Myth → Game,return_over_sent,5,1.4703496359866186,0.14341382495324773,1.2922778526974739,1.6484214192757634
