replicate_id,round,investor_id,trustee_id,target_type,send_ratio,received_visible,returned_visible,visible_return_ratio,deduction_spent,any_deduction,adequate_half_return
70,1,Agent_1,Agent_8,standard,1.0,15.0,7.74,0.516,0,0.0,1.0
70,1,Agent_4,Agent_7,standard,1.0,15.0,7.92,0.528,0,0.0,1.0
70,1,Agent_6,Agent_5,standard,1.0,15.0,8.48,0.5653333333333334,0,0.0,1.0
70,2,Agent_5,Agent_4,standard,1.0,15.0,7.12,0.4746666666666667,0,0.0,0.0
70,2,Agent_7,Agent_3,defector,1.0,15.0,0.53,0.035333333333333335,2,1.0,0.0
70,2,Agent_8,Agent_6,standard,1.0,15.0,7.85,0.5233333333333333,0,0.0,1.0
70,3,Agent_4,Agent_8,standard,1.0,14.91,9.25,0.6203890006706908,0,0.0,1.0
70,3,Agent_6,Agent_3,defector,1.0,14.49,0.0,0.0,2,1.0,0.0
70,3,Agent_7,Agent_1,standard,0.0,0.0,0.0,,0,0.0,0.0
70,4,Agent_1,Agent_6,standard,1.0,15.0,7.99,0.5326666666666667,0,0.0,1.0
70,4,Agent_5,Agent_7,standard,1.0,15.0,6.62,0.44133333333333336,0,0.0,0.0
70,4,Agent_8,Agent_2,defector,1.0,15.0,0.0,0.0,2,1.0,0.0
70,5,Agent_4,Agent_1,standard,1.0,15.0,7.12,0.4746666666666667,0,0.0,0.0
70,5,Agent_8,Agent_7,standard,1.0,15.0,7.58,0.5053333333333333,0,0.0,1.0
70,6,Agent_1,Agent_3,defector,1.0,15.0,0.0,0.0,2,1.0,0.0
70,6,Agent_5,Agent_8,standard,1.0,15.0,7.52,0.5013333333333333,0,0.0,1.0
70,6,Agent_6,Agent_4,standard,1.0,12.24,7.05,0.5759803921568627,0,0.0,1.0
70,6,Agent_7,Agent_2,defector,1.0,15.0,0.85,0.056666666666666664,2,1.0,0.0
70,7,Agent_1,Agent_5,standard,1.0,12.149999999999999,5.32,0.43786008230452683,0,0.0,0.0
70,7,Agent_6,Agent_7,standard,1.0,13.14,6.75,0.5136986301369862,0,0.0,1.0
70,8,Agent_4,Agent_2,defector,1.0,13.23,0.0,0.0,2,1.0,0.0
70,8,Agent_5,Agent_6,standard,1.0,14.73,7.58,0.5145960624575696,0,0.0,1.0
70,8,Agent_7,Agent_1,standard,1.0,12.059999999999999,5.34,0.44278606965174133,0,0.0,0.0
70,8,Agent_8,Agent_3,defector,0.0,0.0,0.0,,0,0.0,0.0
70,9,Agent_1,Agent_5,standard,1.0,13.5,6.97,0.5162962962962963,0,0.0,1.0
70,9,Agent_4,Agent_3,defector,0.0,1.59,0.0,0.0,0,0.0,0.0
70,9,Agent_7,Agent_8,standard,1.0,12.03,6.98,0.5802161263507898,0,0.0,1.0
70,10,Agent_5,Agent_4,standard,1.0,14.64,8.12,0.5546448087431693,0,0.0,1.0
70,10,Agent_6,Agent_1,standard,1.0,14.79,6.57,0.4442190669371197,0,0.0,0.0
70,10,Agent_8,Agent_2,defector,1.0,12.93,0.0,0.0,2,1.0,0.0
71,1,Agent_7,Agent_3,standard,1.0,15.0,7.07,0.4713333333333333,0,0.0,0.0
71,1,Agent_8,Agent_1,standard,1.0,12.57,8.09,0.6435958631662688,0,0.0,1.0
71,2,Agent_1,Agent_7,standard,1.0,13.049999999999999,6.46,0.49501915708812266,0,0.0,0.0
71,2,Agent_2,Agent_8,standard,1.0,14.28,6.94,0.4859943977591037,0,0.0,0.0
71,2,Agent_3,Agent_5,defector,1.0,14.549999999999999,0.35,0.024054982817869417,2,1.0,0.0
71,2,Agent_4,Agent_6,defector,1.0,15.0,0.0,0.0,2,1.0,0.0
71,3,Agent_1,Agent_6,defector,1.0,15.0,0.0,0.0,2,1.0,0.0
71,3,Agent_2,Agent_4,standard,1.0,13.620000000000001,6.63,0.48678414096916295,0,0.0,0.0
71,3,Agent_8,Agent_3,standard,1.0,15.0,7.57,0.5046666666666667,0,0.0,1.0
71,4,Agent_3,Agent_5,defector,1.0,14.91,0.12,0.008048289738430582,2,1.0,0.0
71,4,Agent_4,Agent_1,standard,1.0,15.0,8.37,0.5579999999999999,0,0.0,1.0
71,4,Agent_7,Agent_2,standard,1.0,12.120000000000001,7.27,0.5998349834983497,0,0.0,1.0
71,5,Agent_1,Agent_4,standard,1.0,13.169999999999998,7.2,0.5466970387243737,0,0.0,1.0
71,5,Agent_2,Agent_5,defector,1.0,15.0,0.21,0.014,2,1.0,0.0
71,5,Agent_7,Agent_8,standard,1.0,15.0,7.33,0.4886666666666667,0,0.0,0.0
71,6,Agent_3,Agent_6,defector,1.0,15.0,0.81,0.054000000000000006,0,0.0,0.0
71,6,Agent_4,Agent_7,standard,1.0,12.21,7.81,0.6396396396396395,0,0.0,1.0
71,6,Agent_8,Agent_2,standard,1.0,15.0,6.58,0.43866666666666665,0,0.0,0.0
71,7,Agent_1,Agent_2,standard,1.0,12.99,7.0,0.5388760585065435,0,0.0,1.0
71,7,Agent_4,Agent_3,standard,1.0,15.0,8.29,0.5526666666666666,0,0.0,1.0
71,7,Agent_7,Agent_6,defector,1.0,13.41,0.0,0.0,2,1.0,0.0
71,7,Agent_8,Agent_5,defector,1.0,13.89,0.09,0.006479481641468682,2,1.0,0.0
71,8,Agent_2,Agent_8,standard,1.0,15.0,6.93,0.46199999999999997,0,0.0,0.0
71,8,Agent_3,Agent_1,standard,1.0,13.23,7.93,0.5993953136810279,0,0.0,1.0
71,9,Agent_1,Agent_6,defector,1.0,14.76,0.0,0.0,2,1.0,0.0
71,9,Agent_2,Agent_5,defector,1.0,15.0,0.84,0.056,2,1.0,0.0
71,9,Agent_4,Agent_8,standard,1.0,13.86,6.42,0.46320346320346323,0,0.0,0.0
71,9,Agent_7,Agent_3,standard,0.0,0.42000000000000004,0.0,0.0,0,0.0,0.0
71,10,Agent_3,Agent_2,standard,1.0,15.0,8.29,0.5526666666666666,0,0.0,1.0
71,10,Agent_8,Agent_1,standard,1.0,12.99,0.0,0.0,2,1.0,0.0
72,1,Agent_3,Agent_1,standard,1.0,13.47,6.35,0.4714179658500371,0,0.0,0.0
72,1,Agent_4,Agent_2,defector,1.0,14.28,0.0,0.0,0,0.0,0.0
72,1,Agent_5,Agent_8,standard,1.0,15.0,8.76,0.584,0,0.0,1.0
72,2,Agent_1,Agent_3,standard,1.0,12.99,8.25,0.6351039260969977,0,0.0,1.0
72,2,Agent_6,Agent_5,standard,1.0,14.97,6.93,0.4629258517034068,0,0.0,0.0
72,2,Agent_8,Agent_4,standard,1.0,12.84,6.19,0.48208722741433024,0,0.0,0.0
72,3,Agent_3,Agent_5,standard,1.0,14.01,7.01,0.5003568879371877,0,0.0,1.0
72,3,Agent_6,Agent_4,standard,1.0,15.0,6.99,0.466,0,0.0,0.0
72,3,Agent_8,Agent_1,standard,1.0,15.0,8.26,0.5506666666666666,0,0.0,1.0
72,4,Agent_1,Agent_2,defector,1.0,13.71,0.93,0.06783369803063458,2,1.0,0.0
72,4,Agent_4,Agent_3,standard,1.0,14.25,6.78,0.47578947368421054,0,0.0,0.0
72,4,Agent_5,Agent_6,standard,1.0,15.0,7.28,0.48533333333333334,0,0.0,0.0
72,5,Agent_1,Agent_7,defector,1.0,15.0,0.2,0.013333333333333334,2,1.0,0.0
72,5,Agent_5,Agent_4,standard,1.0,15.0,7.29,0.486,0,0.0,0.0
72,5,Agent_6,Agent_3,standard,1.0,15.0,7.44,0.49600000000000005,0,0.0,0.0
72,6,Agent_3,Agent_2,defector,1.0,14.61,0.71,0.048596851471594794,2,1.0,0.0
72,6,Agent_4,Agent_1,standard,1.0,15.0,0.0,0.0,2,1.0,0.0
72,6,Agent_8,Agent_6,standard,1.0,13.68,6.41,0.4685672514619883,0,0.0,0.0
72,7,Agent_4,Agent_2,defector,0.0,0.9299999999999999,0.0,0.0,0,0.0,0.0
72,7,Agent_5,Agent_1,standard,1.0,12.330000000000002,6.94,0.5628548256285482,0,0.0,1.0
72,7,Agent_8,Agent_6,standard,1.0,13.440000000000001,6.21,0.4620535714285714,0,0.0,0.0
72,8,Agent_1,Agent_4,standard,1.0,15.0,7.6,0.5066666666666666,0,0.0,1.0
72,8,Agent_3,Agent_8,standard,0.0,0.0,0.0,,0,0.0,0.0
72,8,Agent_6,Agent_7,defector,1.0,12.330000000000002,0.68,0.0551500405515004,2,1.0,0.0
72,9,Agent_3,Agent_4,standard,1.0,15.0,6.72,0.448,0,0.0,0.0
72,9,Agent_8,Agent_1,standard,1.0,15.0,7.76,0.5173333333333333,0,0.0,1.0
72,10,Agent_1,Agent_7,defector,1.0,14.43,0.0,0.0,2,1.0,0.0
72,10,Agent_4,Agent_3,standard,1.0,13.14,5.7,0.4337899543378995,0,0.0,0.0
72,10,Agent_5,Agent_8,standard,1.0,15.0,7.16,0.47733333333333333,0,0.0,0.0
72,10,Agent_6,Agent_2,defector,0.0,1.32,0.0,0.0,0,0.0,0.0
73,1,Agent_3,Agent_1,defector,1.0,14.34,0.97,0.06764295676429567,2,1.0,0.0
73,1,Agent_4,Agent_7,standard,1.0,12.629999999999999,6.75,0.5344418052256532,0,0.0,1.0
73,1,Agent_8,Agent_6,standard,1.0,15.0,8.09,0.5393333333333333,0,0.0,1.0
73,2,Agent_2,Agent_4,standard,1.0,13.26,8.11,0.6116138763197586,0,0.0,1.0
73,2,Agent_6,Agent_5,defector,1.0,15.0,0.65,0.043333333333333335,0,0.0,0.0
73,2,Agent_7,Agent_3,standard,1.0,15.0,8.01,0.534,0,0.0,1.0
