history,history_label,condition,condition_label,metric,n,mean,sd,ci_low,ci_high
own_only,Private interaction memory,game,Game only,final_balance,5,66.025,2.073173141587552,63.45081554804774,68.59918445195227
own_only,Private interaction memory,game,Game only,mean_trust_ratio,5,0.8204999999999998,0.041463462831751056,0.7690163109609545,0.8719836890390451
own_only,Private interaction memory,game,Game only,mean_return_ratio,5,0.399129384782028,0.037174088379178474,0.35297165757555704,0.4452871119884989
own_only,Private interaction memory,game,Game only,return_over_sent,5,1.2080974115838388,0.12423265599815511,1.0538421952296964,1.3623526279379812
own_only,Private interaction memory,game,Game only,mean_sent,5,4.102500000000001,0.2073173141587552,3.8450815548047745,4.359918445195227
own_only,Private interaction memory,game,Game only,mean_returned,5,4.9727,0.7271697091721432,4.069799551536646,5.875600448463353
own_only,Private interaction memory,game_myth,Game → Myth,final_balance,5,65.075,0.6766184301362179,64.2348672547787,65.9151327452213
own_only,Private interaction memory,game_myth,Game → Myth,mean_trust_ratio,5,0.8014999999999999,0.013532368602724353,0.7846973450955741,0.8183026549044257
own_only,Private interaction memory,game_myth,Game → Myth,mean_return_ratio,5,0.37452547619047616,0.025907450674292846,0.34235712740296687,0.40669382497798545
own_only,Private interaction memory,game_myth,Game → Myth,return_over_sent,5,1.1185326894219856,0.07969448780255635,1.0195789130622621,1.217486465781709
own_only,Private interaction memory,game_myth,Game → Myth,mean_sent,5,4.0075,0.06766184301362169,3.923486725477871,4.091513274522129
own_only,Private interaction memory,game_myth,Game → Myth,mean_returned,5,4.483700000000001,0.3468449941976963,4.053035057747527,4.914364942252474
own_only,Private interaction memory,myth_game,Myth → Game,final_balance,5,66.25,1.9803724397193574,63.79104283856552,68.70895716143448
own_only,Private interaction memory,myth_game,Myth → Game,mean_trust_ratio,5,0.825,0.0396074487943871,0.7758208567713103,0.8741791432286896
own_only,Private interaction memory,myth_game,Myth → Game,mean_return_ratio,5,0.35512081187331185,0.013684215856089262,0.3381296137011567,0.372112010045467
own_only,Private interaction memory,myth_game,Myth → Game,return_over_sent,5,1.0642046157318186,0.04198582374292868,1.0120723299552952,1.116336901508342
own_only,Private interaction memory,myth_game,Myth → Game,mean_sent,5,4.125,0.19803724397193564,3.8791042838565515,4.3708957161434485
own_only,Private interaction memory,myth_game,Myth → Game,mean_returned,5,4.386325,0.18823982376213585,4.152594387806334,4.620055612193666
partner_dossier,Current-partner dossier,game,Game only,final_balance,5,62.6375,1.2345925441213388,61.10455088551374,64.17044911448626
partner_dossier,Current-partner dossier,game,Game only,mean_trust_ratio,5,0.7527499999999999,0.02469185088242681,0.7220910177102746,0.7834089822897252
partner_dossier,Current-partner dossier,game,Game only,mean_return_ratio,5,0.3870612617122872,0.038614169882772345,0.33911543714832465,0.4350070862762498
partner_dossier,Current-partner dossier,game,Game only,return_over_sent,5,1.1675241147068012,0.11871852309816196,1.0201155986558912,1.3149326307577112
partner_dossier,Current-partner dossier,game,Game only,mean_sent,5,3.7637500000000004,0.12345925441213386,3.610455088551374,3.9170449114486265
partner_dossier,Current-partner dossier,game,Game only,mean_returned,5,4.391324999999999,0.42975935853684405,3.8577082766136552,4.924941723386343
partner_dossier,Current-partner dossier,game_myth,Game → Myth,final_balance,5,62.339999999999996,1.1718841666308164,60.88491362022949,63.7950863797705
partner_dossier,Current-partner dossier,game_myth,Game → Myth,mean_trust_ratio,5,0.7468,0.023437683332616324,0.7176982724045898,0.7759017275954102
partner_dossier,Current-partner dossier,game_myth,Game → Myth,mean_return_ratio,5,0.3618999470899471,0.014137956790692437,0.3443453551347838,0.3794545390451104
partner_dossier,Current-partner dossier,game_myth,Game → Myth,return_over_sent,5,1.0850825997210138,0.04763761542539844,1.0259326876870203,1.1442325117550074
partner_dossier,Current-partner dossier,game_myth,Game → Myth,mean_sent,5,3.7340000000000004,0.11718841666308141,3.5884913620229497,3.879508637977051
partner_dossier,Current-partner dossier,game_myth,Game → Myth,mean_returned,5,4.051699999999999,0.22051767219431656,3.7778911454686166,4.325508854531382
partner_dossier,Current-partner dossier,myth_game,Myth → Game,final_balance,5,66.2625,1.0235508047967135,64.99159381535144,67.53340618464857
partner_dossier,Current-partner dossier,myth_game,Myth → Game,mean_trust_ratio,5,0.8252499999999999,0.020471016095934325,0.7998318763070285,0.8506681236929714
partner_dossier,Current-partner dossier,myth_game,Myth → Game,mean_return_ratio,5,0.4047625568099484,0.053223654726704546,0.3386766608829716,0.47084845273692516
partner_dossier,Current-partner dossier,myth_game,Myth → Game,return_over_sent,5,1.2074445455004976,0.16430444259601817,1.0034336343840844,1.4114554566169109
partner_dossier,Current-partner dossier,myth_game,Myth → Game,mean_sent,5,4.126250000000001,0.10235508047967155,3.999159381535143,4.253340618464858
partner_dossier,Current-partner dossier,myth_game,Myth → Game,mean_returned,5,4.9754000000000005,0.6230910497270844,4.2017302759508866,5.749069724049114
