metric,contrast,family,n_pairs,estimate,ci_low,ci_high,p_value,holm_p_within_family
final_balance,Partner dossier − private memory | Game only,visibility_final_balance,5,-3.3875,-5.024006260643872,-1.7509937393561288,0.004543673865657773,0.013631021596973318
final_balance,Partner dossier − private memory | Game → Myth,visibility_final_balance,5,-2.7350000000000008,-4.936394458075208,-0.5336055419247931,0.026067803750975397,0.052135607501950794
final_balance,Partner dossier − private memory | Myth → Game,visibility_final_balance,5,0.0125,-2.2569360662820803,2.2819360662820807,0.9885311134584379,0.9885311134584379
final_balance,Game → Myth − Game only | Private interaction memory,task_order_own_only_final_balance,5,-0.95,-2.8834145343603623,0.9834145343603626,0.24421029847017645,0.6651402460429665
final_balance,Myth → Game − Game only | Private interaction memory,task_order_own_only_final_balance,5,0.225,-2.134340283240945,2.584340283240945,0.8042649399177773,0.8042649399177773
final_balance,Myth → Game − Game → Myth | Private interaction memory,task_order_own_only_final_balance,5,1.175,-1.0811285980537833,3.4311285980537836,0.22171341534765548,0.6651402460429665
final_balance,Game → Myth − Game only | Current-partner dossier,task_order_partner_dossier_final_balance,5,-0.2975000000000009,-3.0516089933472936,2.456608993347292,0.7791833217696115,0.7791833217696115
final_balance,Myth → Game − Game only | Current-partner dossier,task_order_partner_dossier_final_balance,5,3.625,2.4467985002251593,4.803201499774841,0.001030790581454409,0.0030923717443632273
final_balance,Myth → Game − Game → Myth | Current-partner dossier,task_order_partner_dossier_final_balance,5,3.9225000000000008,1.3767954396125095,6.468204560387492,0.01286774456410194,0.02573548912820388
final_balance,Visibility interaction: Game → Myth − Game only,interaction_final_balance,5,0.6524999999999992,-0.9312073234727436,2.236207323472742,0.31646269957498396,0.31646269957498396
final_balance,Visibility interaction: Myth → Game − Game only,interaction_final_balance,5,3.4,0.6968620784518187,6.103137921548181,0.025072639528639876,0.05014527905727975
mean_trust_ratio,Partner dossier − private memory | Game only,visibility_mean_trust_ratio,5,-0.06774999999999995,-0.10048012521287744,-0.03501987478712246,0.004543673865657821,0.013631021596973464
mean_trust_ratio,Partner dossier − private memory | Game → Myth,visibility_mean_trust_ratio,5,-0.05469999999999999,-0.09872788916150416,-0.01067211083849582,0.026067803750975473,0.05213560750195095
mean_trust_ratio,Partner dossier − private memory | Myth → Game,visibility_mean_trust_ratio,5,0.0002499999999999947,-0.045138721325641624,0.04563872132564161,0.9885311134584382,0.9885311134584382
mean_trust_ratio,Game → Myth − Game only | Private interaction memory,task_order_own_only_mean_trust_ratio,5,-0.018999999999999996,-0.05766829068720723,0.01966829068720724,0.24421029847017636,0.6651402460429647
mean_trust_ratio,Myth → Game − Game only | Private interaction memory,task_order_own_only_mean_trust_ratio,5,0.004500000000000015,-0.042686805664818875,0.05168680566481891,0.8042649399177766,0.8042649399177766
mean_trust_ratio,Myth → Game − Game → Myth | Private interaction memory,task_order_own_only_mean_trust_ratio,5,0.02350000000000001,-0.02162257196107561,0.06862257196107563,0.2217134153476549,0.6651402460429647
mean_trust_ratio,Game → Myth − Game only | Current-partner dossier,task_order_partner_dossier_mean_trust_ratio,5,-0.005950000000000033,-0.06103217986694593,0.04913217986694587,0.779183321769611,0.779183321769611
mean_trust_ratio,Myth → Game − Game only | Current-partner dossier,task_order_partner_dossier_mean_trust_ratio,5,0.07249999999999997,0.04893597000450306,0.09606402999549687,0.0010307905814544236,0.0030923717443632707
mean_trust_ratio,Myth → Game − Game → Myth | Current-partner dossier,task_order_partner_dossier_mean_trust_ratio,5,0.07844999999999999,0.027535908792250097,0.1293640912077499,0.012867744564102012,0.025735489128204024
mean_trust_ratio,Visibility interaction: Game → Myth − Game only,interaction_mean_trust_ratio,5,0.013049999999999961,-0.018624146469455014,0.04472414646945494,0.31646269957498624,0.31646269957498624
mean_trust_ratio,Visibility interaction: Myth → Game − Game only,interaction_mean_trust_ratio,5,0.06799999999999995,0.013937241569036245,0.12206275843096365,0.025072639528640063,0.050145279057280126
mean_return_ratio,Partner dossier − private memory | Game only,visibility_mean_return_ratio,5,-0.012068123069740722,-0.09385218002145806,0.06971593388197661,0.7030208996082976,0.7030208996082976
mean_return_ratio,Partner dossier − private memory | Game → Myth,visibility_mean_return_ratio,5,-0.01262552910052912,-0.0452925927520092,0.02004153455095096,0.3436638147724439,0.6873276295448878
mean_return_ratio,Partner dossier − private memory | Myth → Game,visibility_mean_return_ratio,5,0.04964174493663657,-0.026205270154479703,0.12548876002775283,0.14334620616797095,0.43003861850391284
mean_return_ratio,Game → Myth − Game only | Private interaction memory,task_order_own_only_mean_return_ratio,5,-0.02460390859155175,-0.05938957923541145,0.01018176205230795,0.12102903792430314,0.24205807584860628
mean_return_ratio,Myth → Game − Game only | Private interaction memory,task_order_own_only_mean_return_ratio,5,-0.044008572908716084,-0.08478774498866916,-0.00322940082876301,0.04008728061411148,0.12026184184233443
mean_return_ratio,Myth → Game − Game → Myth | Private interaction memory,task_order_own_only_mean_return_ratio,5,-0.01940466431716433,-0.05687968366954355,0.01807035503521489,0.2239083232663096,0.24205807584860628
mean_return_ratio,Game → Myth − Game only | Current-partner dossier,task_order_partner_dossier_mean_return_ratio,5,-0.02516131462234015,-0.062264716643475895,0.011942087398795598,0.13284770964564246,0.3566012925369433
mean_return_ratio,Myth → Game − Game only | Current-partner dossier,task_order_partner_dossier_mean_return_ratio,5,0.017701295097661208,-0.013191557531892259,0.048594147727214675,0.18684712466137213,0.3566012925369433
mean_return_ratio,Myth → Game − Game → Myth | Current-partner dossier,task_order_partner_dossier_mean_return_ratio,5,0.04286260972000135,-0.017255896098357648,0.10298111553836035,0.11886709751231443,0.3566012925369433
mean_return_ratio,Visibility interaction: Game → Myth − Game only,interaction_mean_return_ratio,5,-0.0005574060307883988,-0.057591849078219445,0.05647703701664265,0.979652165208972,0.979652165208972
mean_return_ratio,Visibility interaction: Myth → Game − Game only,interaction_mean_return_ratio,5,0.06170986800637729,0.013571897507258825,0.10984783850549576,0.023602342519609604,0.04720468503921921
