metric,metric_label,contrast_type,contrast,primary,n_quadruplets,estimate,ci_low,ci_high,t_statistic,p_value,cohens_dz,same_direction,zero_differences,p_holm
standard_return_ratio,Ordinary receiver return ratio,availability_defectors25,Available − unavailable | 25% defectors,True,10,-0.04546898002582214,-0.0743069927898182,-0.016630967261826078,-3.5667498899751,0.0060549599537573166,-1.1279053496476283,8,0,0.012109919907514633
standard_return_ratio,Ordinary receiver return ratio,availability_control,Available − unavailable | 0% defectors,False,10,-0.008210833333333311,-0.023684008550957373,0.00726234188429075,-1.2004126610577641,0.26062075655086914,-0.3796038141046244,6,0,
standard_return_ratio,Ordinary receiver return ratio,availability_main,Equal-weight availability main effect,False,10,-0.02683990667957773,-0.042245207462604524,-0.011434605896550936,-3.9412464580008666,0.003399528749395496,-1.2463315627353893,8,0,
standard_return_ratio,Ordinary receiver return ratio,interaction,Availability × defector difference-in-differences,True,10,-0.03725814669248883,-0.07179518614466665,-0.0027211072403110145,-2.440388196324327,0.03734085160052157,-0.7717185075375026,7,0,0.03734085160052157
standard_return_ratio,Ordinary receiver return ratio,defector_effect_off,25% − 0% defectors | unavailable,False,10,0.0022064988228146344,-0.022603245228958353,0.02701624287458762,0.2011889806861009,0.8450242607775609,0.06362154190957044,2,0,
standard_return_ratio,Ordinary receiver return ratio,defector_effect_on,25% − 0% defectors | available,False,10,-0.0350516478696742,-0.058441667861250435,-0.011661627878097967,-3.390007205072066,0.007999011882951795,-1.0720144052409242,9,0,
standard_send_ratio,Ordinary-agent proportion sent,availability_defectors25,Available − unavailable | 25% defectors,False,10,-0.030333333333333334,-0.0934864400235094,0.03281977335684273,-1.0865461870289137,0.30547997023021,-0.34359607339826675,6,3,
standard_send_ratio,Ordinary-agent proportion sent,availability_control,Available − unavailable | 0% defectors,False,10,0.0,0.0,0.0,0.0,1.0,0.0,10,10,
standard_send_ratio,Ordinary-agent proportion sent,availability_main,Equal-weight availability main effect,False,10,-0.015166666666666667,-0.0467432200117547,0.016409886678421366,-1.0865461870289137,0.30547997023021,-0.34359607339826675,6,3,
standard_send_ratio,Ordinary-agent proportion sent,interaction,Availability × defector difference-in-differences,False,10,-0.030333333333333334,-0.0934864400235094,0.03281977335684273,-1.0865461870289137,0.30547997023021,-0.34359607339826675,6,3,
