information_arm,information_label,metric,n,mean,sd,ci_low,ci_high
private,Anonymous private memory,round1_trust_ratio,5,0.6199999999999999,0.05700877125495686,0.5492142611508862,0.6907857388491135
private,Anonymous private memory,final_balance,5,66.025,2.073173141587552,63.45081554804774,68.59918445195227
private,Anonymous private memory,mean_trust_ratio,5,0.8204999999999998,0.041463462831751056,0.7690163109609545,0.8719836890390451
private,Anonymous private memory,mean_return_ratio,5,0.399129384782028,0.037174088379178474,0.35297165757555704,0.4452871119884989
anonymous_record,Anonymous population record,round1_trust_ratio,5,0.62,0.130384048104053,0.45810682152912935,0.7818931784708707
anonymous_record,Anonymous population record,final_balance,5,65.55,2.738398825043569,62.149828766219905,68.9501712337801
anonymous_record,Anonymous population record,mean_trust_ratio,5,0.8110000000000002,0.054767976500871444,0.7429965753243982,0.8790034246756021
anonymous_record,Anonymous population record,mean_return_ratio,5,0.4205388542434518,0.022388448572477383,0.3927399236753701,0.44833778481153347
stable_ids,"Stable IDs, no ledger",round1_trust_ratio,5,0.44000000000000006,0.14747881203752627,0.2568808685951434,0.6231191314048568
stable_ids,"Stable IDs, no ledger",final_balance,5,61.025,5.412225743628956,54.304834143984316,67.74516585601569
stable_ids,"Stable IDs, no ledger",mean_trust_ratio,5,0.7205,0.10824451487257908,0.5860966828796864,0.8549033171203136
stable_ids,"Stable IDs, no ledger",mean_return_ratio,5,0.28255544973544977,0.07272220572082964,0.1922589050219276,0.37285199444897194
public_ledger,Stable IDs + public ledger,round1_trust_ratio,5,0.48,0.0758287544405155,0.3858461655825779,0.5741538344174221
public_ledger,Stable IDs + public ledger,final_balance,5,62.0375,1.943337978839502,59.62452719533292,64.45047280466709
public_ledger,Stable IDs + public ledger,mean_trust_ratio,5,0.74075,0.03886675957679003,0.6924905439066584,0.7890094560933416
public_ledger,Stable IDs + public ledger,mean_return_ratio,5,0.44072640756302517,0.03228142064599094,0.40064372973602647,0.48080908539002387
